,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38
delamination,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
pop-corn,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,2,1,1,1,2,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,1,0
scratch,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0
origin_path,/workspace/Minsung/PCB_Project/minji2/test/images/103_png.rf.fb592513bba9b444518a623dcfa0e43e.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/115_png.rf.7f45f773b377a0633bfb2c39e07a41c0.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/117_png.rf.19eb9b3e7e14321b423aaa65d4d42a95.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/119_png.rf.43ae1efbb4c5ddf2cd5003882dcb4ecd.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/11_png.rf.939177c59f981ee90599d2c595686cb4.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/127_png.rf.67b8388525ab1addde2ade8d38f49420.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/131-10-_png.rf.3c2887dfe52e6ef4510be8e4475ec36b.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/131-12-_png.rf.020b157a9d3241daae2900503f059968.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/131-21-_png.rf.0a11a2e27914c753568007949ddaf4f4.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/131-23-_png.rf.c4372be0c26d545b727ab401f41ec098.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/131-32-_png.rf.3fa3ec08071d6345c70f870b8cc2d8de.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/131-4-_png.rf.cf09ac9f7525bcf4cb67a13a804df37e.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/131-40-_png.rf.a8271989f587fe3b5c1261a1da983b7b.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/131-53-_png.rf.7a6cf2629a6c677f99e028f67c0196e4.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/131-56-_png.rf.74cfaf4582f4ea9eccafa0d6333116d3.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/131-71-_png.rf.6341903bfa3468003878731f886a4194.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/131-76-_png.rf.c7177e1e962580ec89118cb126b7307e.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/132-16-_png.rf.f19fe4e65cd5ade7d837ec7126246745.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/133-11-_png.rf.38234f85b12ea80f0aa65d7192babd2c.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/133-12-_png.rf.7988e508f16f2f60180a585b0070a28c.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/133-60-_png.rf.7df3adf5a093e8bce1d319351e8271fa.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/133-69-_png.rf.207b5b5e9c604e1e08dd8f78c5122904.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/133-73-_png.rf.67fa904f1fc8e770433c70d14b0f56b7.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/133-78-_png.rf.b0b7b43642dbb5165729adf0c88f950e.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/14_png.rf.516aef16b6f3af44d5f73abd2d05169e.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/20_png.rf.ff66f07396f3919119c272c1fdfe5edf.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/30_png.rf.0febbbdadce0a78432a89646119f2e70.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/44_png.rf.21ed7584515aa056e0d0f2271de03184.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/44_png.rf.fef9b3a30bd49e74468a1ecfef47f388.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/4_png.rf.8a27c8643845cc9869dfd3e3bde511c9.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/52-4-_png.rf.9654343229bb884e62ac9dbbaffa2ffc.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/52-7-_png.rf.bf6a534965fb16b68bf0ac4c529132ca.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/58_png.rf.f5be68797a736a78bc2fd659e993153f.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/5_png.rf.2adcc6edddb205067ef324fb9db62afa.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/61_png.rf.a1627412afdfd4a8cd6836394ff1f3ad.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/64_png.rf.7596f7d2e840c9156be9e0dbda8903f7.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/65_png.rf.68d270280c529016824fc24d4c9ff099.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/71_png.rf.a98647a86ab3ec59a46274501a4374a4.jpg,/workspace/Minsung/PCB_Project/minji2/test/images/7_png.rf.b85e441704b4cf033f8362d07a5a5ddd.jpg
plotted_path,/workspace/Minsung/PCB_Project/plotted_img/103_png.rf.fb592513bba9b444518a623dcfa0e43e.jpg,/workspace/Minsung/PCB_Project/plotted_img/115_png.rf.7f45f773b377a0633bfb2c39e07a41c0.jpg,/workspace/Minsung/PCB_Project/plotted_img/117_png.rf.19eb9b3e7e14321b423aaa65d4d42a95.jpg,/workspace/Minsung/PCB_Project/plotted_img/119_png.rf.43ae1efbb4c5ddf2cd5003882dcb4ecd.jpg,/workspace/Minsung/PCB_Project/plotted_img/11_png.rf.939177c59f981ee90599d2c595686cb4.jpg,/workspace/Minsung/PCB_Project/plotted_img/127_png.rf.67b8388525ab1addde2ade8d38f49420.jpg,/workspace/Minsung/PCB_Project/plotted_img/131-10-_png.rf.3c2887dfe52e6ef4510be8e4475ec36b.jpg,/workspace/Minsung/PCB_Project/plotted_img/131-12-_png.rf.020b157a9d3241daae2900503f059968.jpg,/workspace/Minsung/PCB_Project/plotted_img/131-21-_png.rf.0a11a2e27914c753568007949ddaf4f4.jpg,/workspace/Minsung/PCB_Project/plotted_img/131-23-_png.rf.c4372be0c26d545b727ab401f41ec098.jpg,/workspace/Minsung/PCB_Project/plotted_img/131-32-_png.rf.3fa3ec08071d6345c70f870b8cc2d8de.jpg,/workspace/Minsung/PCB_Project/plotted_img/131-4-_png.rf.cf09ac9f7525bcf4cb67a13a804df37e.jpg,/workspace/Minsung/PCB_Project/plotted_img/131-40-_png.rf.a8271989f587fe3b5c1261a1da983b7b.jpg,/workspace/Minsung/PCB_Project/plotted_img/131-53-_png.rf.7a6cf2629a6c677f99e028f67c0196e4.jpg,/workspace/Minsung/PCB_Project/plotted_img/131-56-_png.rf.74cfaf4582f4ea9eccafa0d6333116d3.jpg,/workspace/Minsung/PCB_Project/plotted_img/131-71-_png.rf.6341903bfa3468003878731f886a4194.jpg,/workspace/Minsung/PCB_Project/plotted_img/131-76-_png.rf.c7177e1e962580ec89118cb126b7307e.jpg,/workspace/Minsung/PCB_Project/plotted_img/132-16-_png.rf.f19fe4e65cd5ade7d837ec7126246745.jpg,/workspace/Minsung/PCB_Project/plotted_img/133-11-_png.rf.38234f85b12ea80f0aa65d7192babd2c.jpg,/workspace/Minsung/PCB_Project/plotted_img/133-12-_png.rf.7988e508f16f2f60180a585b0070a28c.jpg,/workspace/Minsung/PCB_Project/plotted_img/133-60-_png.rf.7df3adf5a093e8bce1d319351e8271fa.jpg,/workspace/Minsung/PCB_Project/plotted_img/133-69-_png.rf.207b5b5e9c604e1e08dd8f78c5122904.jpg,/workspace/Minsung/PCB_Project/plotted_img/133-73-_png.rf.67fa904f1fc8e770433c70d14b0f56b7.jpg,/workspace/Minsung/PCB_Project/plotted_img/133-78-_png.rf.b0b7b43642dbb5165729adf0c88f950e.jpg,/workspace/Minsung/PCB_Project/plotted_img/14_png.rf.516aef16b6f3af44d5f73abd2d05169e.jpg,/workspace/Minsung/PCB_Project/plotted_img/20_png.rf.ff66f07396f3919119c272c1fdfe5edf.jpg,/workspace/Minsung/PCB_Project/plotted_img/30_png.rf.0febbbdadce0a78432a89646119f2e70.jpg,/workspace/Minsung/PCB_Project/plotted_img/44_png.rf.21ed7584515aa056e0d0f2271de03184.jpg,/workspace/Minsung/PCB_Project/plotted_img/44_png.rf.fef9b3a30bd49e74468a1ecfef47f388.jpg,/workspace/Minsung/PCB_Project/plotted_img/4_png.rf.8a27c8643845cc9869dfd3e3bde511c9.jpg,/workspace/Minsung/PCB_Project/plotted_img/52-4-_png.rf.9654343229bb884e62ac9dbbaffa2ffc.jpg,/workspace/Minsung/PCB_Project/plotted_img/52-7-_png.rf.bf6a534965fb16b68bf0ac4c529132ca.jpg,/workspace/Minsung/PCB_Project/plotted_img/58_png.rf.f5be68797a736a78bc2fd659e993153f.jpg,/workspace/Minsung/PCB_Project/plotted_img/5_png.rf.2adcc6edddb205067ef324fb9db62afa.jpg,/workspace/Minsung/PCB_Project/plotted_img/61_png.rf.a1627412afdfd4a8cd6836394ff1f3ad.jpg,/workspace/Minsung/PCB_Project/plotted_img/64_png.rf.7596f7d2e840c9156be9e0dbda8903f7.jpg,/workspace/Minsung/PCB_Project/plotted_img/65_png.rf.68d270280c529016824fc24d4c9ff099.jpg,/workspace/Minsung/PCB_Project/plotted_img/71_png.rf.a98647a86ab3ec59a46274501a4374a4.jpg,/workspace/Minsung/PCB_Project/plotted_img/7_png.rf.b85e441704b4cf033f8362d07a5a5ddd.jpg
