                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                  1.514,                 1.0311,                 1.1809,                0.77701,                0.70071,                 0.7118,                0.38191,                 1.7356,                 1.0959,                 1.2499,             9.3862e-05,             9.3862e-05,             9.3862e-05
                     34,                 1.5421,                 1.0534,                 1.2028,                0.71289,                0.74977,                0.70956,                0.35447,                 1.8156,                 1.1843,                 1.2752,             9.3664e-05,             9.3664e-05,             9.3664e-05
                     35,                 1.5049,                0.99344,                 1.1856,                0.79689,                0.66913,                0.71432,                0.37335,                 1.7918,                 1.1579,                 1.2725,             9.3466e-05,             9.3466e-05,             9.3466e-05
                     36,                 1.4404,                0.94271,                 1.1935,                0.80598,                0.67005,                0.74669,                0.35664,                 1.8186,                 1.1967,                 1.2952,             9.3268e-05,             9.3268e-05,             9.3268e-05
                     37,                 1.5254,                 1.0337,                 1.1964,                0.76504,                0.69937,                0.76566,                0.37699,                 1.7934,                 1.2415,                 1.3045,              9.307e-05,              9.307e-05,              9.307e-05
                     38,                 1.4755,                0.96722,                 1.1802,                 0.8013,                0.64908,                0.70735,                0.34991,                 1.8174,                 1.1955,                 1.2997,             9.2872e-05,             9.2872e-05,             9.2872e-05
                     39,                 1.4445,                0.95359,                 1.1674,                0.85037,                0.67833,                0.76848,                0.37643,                 1.7747,                 1.1415,                 1.2836,             9.2674e-05,             9.2674e-05,             9.2674e-05
                     40,                  1.515,                 1.0881,                 1.1904,                0.78512,                0.66856,                0.73545,                0.39262,                 1.7797,                 1.1752,                 1.2917,             9.2476e-05,             9.2476e-05,             9.2476e-05
                     41,                 1.3991,                0.98514,                 1.1455,                0.81017,                0.71846,                0.77002,                0.40405,                 1.7719,                 1.1355,                 1.2791,             9.2278e-05,             9.2278e-05,             9.2278e-05
                     42,                 1.3961,                0.93767,                 1.1476,                0.75195,                0.69877,                 0.7458,                0.40374,                 1.8019,                 1.1089,                 1.3123,              9.208e-05,              9.208e-05,              9.208e-05
                     43,                 1.3504,                0.92029,                 1.1302,                0.82963,                0.72483,                0.80379,                 0.3875,                 1.7386,                 1.0843,                 1.2547,             9.1882e-05,             9.1882e-05,             9.1882e-05
                     44,                 1.3701,                0.91339,                 1.1337,                0.75392,                0.76022,                0.77323,                0.35826,                 1.8561,                 1.1278,                 1.3166,             9.1684e-05,             9.1684e-05,             9.1684e-05
                     45,                 1.4215,                0.98928,                 1.1507,                0.82457,                0.68327,                 0.7445,                0.36812,                  1.813,                 1.2278,                 1.3204,             9.1486e-05,             9.1486e-05,             9.1486e-05
                     46,                 1.3355,                0.84449,                 1.1127,                0.78994,                0.70041,                0.75834,                0.39134,                 1.8145,                 1.2229,                 1.3255,             9.1288e-05,             9.1288e-05,             9.1288e-05
                     47,                 1.3712,                0.88885,                  1.128,                0.86299,                0.71309,                0.78062,                0.37598,                 1.8205,                 1.1443,                 1.3154,              9.109e-05,              9.109e-05,              9.109e-05
                     48,                 1.3309,                0.86851,                  1.111,                0.82839,                0.71633,                 0.7818,                0.40713,                 1.7371,                 1.1288,                 1.2504,             9.0892e-05,             9.0892e-05,             9.0892e-05
                     49,                 1.3272,                   0.89,                 1.1217,                0.82501,                0.71856,                0.76758,                0.37743,                 1.8613,                 1.1562,                 1.3436,             9.0694e-05,             9.0694e-05,             9.0694e-05
